length,hla,hla_site,cdr_pos,pvalue,adj_p_value
12,A,102,113,0.001428429852678892,0.0038666979883048903
12,A,102,114,0.21615585314892688,0.3222960700416967
12,A,102,115,0.006676841402640304,0.015950677540521253
12,A,102,116,0.5487922358071873,0.6560447809606197
12,A,105,107,0.004631957648133743,0.011418009208724657
12,A,105,108,0.14794213331397105,0.23776566680860878
12,A,105,109,0.2699142307846605,0.38356595101558993
12,A,105,113,0.12265877345659984,0.20445575137614405
12,A,105,114,0.11670159996374575,0.19639423587979202
12,A,105,115,0.2835507522697072,0.39803113610288926
12,A,105,116,0.9406889870814807,0.9645864527459967
12,A,107,107,0.000710343404140456,0.0020355365065940294
12,A,107,108,0.38232400570134634,0.5007779407070762
12,A,107,109,0.000608974709803222,0.0017647218031118957
12,A,107,113,1.7815636905512615e-05,6.445184316161297e-05
12,A,107,114,0.009873166350037403,0.022736519632339396
12,A,107,115,0.3264779129338814,0.4439946624200886
12,A,107,116,0.840945711795835,0.8940563835387126
12,A,109,107,0.18987009564258564,0.29155049168821073
12,A,109,108,0.4817475115824402,0.5978922698096394
12,A,109,109,0.0020357508338805018,0.005363216854081397
12,A,109,113,0.2093013230566841,0.3144994800905679
12,A,109,114,0.3515585437023076,0.4695987451477341
12,A,109,115,0.5792076835246496,0.6834410259199838
12,A,109,116,0.6156136953866136,0.7134891880253588
12,A,114,107,0.29537497188878215,0.4110555315859321
12,A,114,108,0.12996215260386926,0.2140806226892803
12,A,114,109,6.606354293216592e-08,3.0391847854857043e-07
12,A,114,113,0.0003344452075918145,0.0010113582419958701
12,A,114,114,0.5423128167860753,0.6504018543116685
12,A,114,115,0.664437543652451,0.7537452233687625
12,A,114,116,0.6718172544960306,0.7596534651134957
12,A,116,107,0.1836188715507292,0.2839803353726721
12,A,116,108,0.15217613916875616,0.24355875436557398
12,A,116,109,7.496709834656379e-07,3.127089923544344e-06
12,A,116,113,0.0003279200099931525,0.0009935673168471157
12,A,116,114,0.5872805941813487,0.6898114319276688
12,A,116,115,0.49548767641101965,0.6102299977050385
12,A,116,116,0.5285129217440871,0.6393282966345477
12,A,12,107,0.9031775684381257,0.9383916232989437
12,A,12,108,0.8489541044437414,0.8996866122637848
12,A,12,109,0.004808630279670767,0.011802346893809141
12,A,12,113,0.14624941151785117,0.23556157743466113
12,A,12,114,0.42028023600562364,0.5386919108905353
12,A,12,115,0.2951770824171921,0.41085299341241865
12,A,12,116,0.7459971269196087,0.8195055382666416
12,A,127,107,0.01997876884192226,0.04260302333991229
12,A,127,108,0.39525083303600106,0.5134851111393327
12,A,127,109,1.4053727681194924e-05,5.1450309224453433e-05
12,A,127,113,5.165254318949969e-07,2.19232153147389e-06
12,A,127,114,0.13303388590957047,0.21810887197320267
12,A,127,115,0.3325896793293703,0.4502842096470141
12,A,127,116,0.710786478838495,0.7920370890504947
12,A,142,107,0.0009685490864613512,0.0026999977535334444
12,A,142,108,0.6641935585403749,0.7536489116442281
12,A,142,109,7.875868477771278e-06,2.9655588024152963e-05
12,A,142,113,1.271831676048853e-09,6.581209230074488e-09
12,A,142,114,0.05629768203621012,0.10590175758506203
12,A,142,115,0.33372515680117515,0.4512732547920565
12,A,142,116,0.7342805674754946,0.8105656791293795
12,A,144,107,0.3461109303367655,0.46428092441534435
12,A,144,108,0.33972205081141094,0.45747287619536514
12,A,144,109,0.0023741855930922407,0.006197679312838695
12,A,144,113,0.005479991100550504,0.013308276853324358
12,A,144,114,0.2242646382504072,0.3316883166988557
12,A,144,115,0.3879164658641038,0.5064363982649452
12,A,144,116,0.014600282101373433,0.03237534697104934
12,A,145,107,0.0009685490864613512,0.0026999977535334444
12,A,145,108,0.6641935585403749,0.7536489116442281
12,A,145,109,7.875868477771278e-06,2.9655588024152963e-05
12,A,145,113,1.271831676048853e-09,6.581209230074488e-09
12,A,145,114,0.05629768203621012,0.10590175758506203
12,A,145,115,0.33372515680117515,0.4512732547920565
12,A,145,116,0.7342805674754946,0.8105656791293795
12,A,149,107,0.7008088064481639,0.783302964705497
12,A,149,108,0.4048161398020774,0.5232764652199637
12,A,149,109,0.011431259318586904,0.02594922876361372
12,A,149,113,0.5813254464929933,0.6853303545740858
12,A,149,114,0.1390750272304603,0.22578114670710475
12,A,149,115,0.8899704485102429,0.9295758518162699
12,A,149,116,0.9737882081071476,0.9858190217247504
12,A,150,107,0.004857348433177389,0.01190828294159821
12,A,150,108,0.5060780441199794,0.6188367258536975
12,A,150,109,6.321980945899257e-07,2.659776338760998e-06
12,A,150,113,0.002722064366798832,0.007021267776966527
12,A,150,114,0.28461409846316926,0.399201972671998
12,A,150,115,0.13176078795761847,0.21642919359113558
12,A,150,116,0.5985395310786191,0.6989107395888482
12,A,151,107,0.5637141026281267,0.6695546938616819
12,A,151,108,0.10003641184544551,0.1725278218406656
12,A,151,109,0.0014933089110615377,0.004026229665571994
12,A,151,113,0.0024296415522111724,0.006328516608508159
12,A,151,114,0.17300830620881893,0.2707871579200952
12,A,151,115,0.3214354977076886,0.4387313742240863
12,A,151,116,0.01672890930685467,0.036491341472672335
12,A,152,107,0.005462263765979716,0.01326638205214845
12,A,152,108,0.38802178927383735,0.5065501639646272
12,A,152,109,6.829372712197923e-16,5.103710401336752e-15
12,A,152,113,4.305632584541661e-07,1.8381079344978652e-06
12,A,152,114,0.0007081625861689863,0.0020301923904782835
12,A,152,115,0.1893174449591854,0.2910274185756571
12,A,152,116,0.956703976742322,0.9753283369452975
12,A,156,107,0.004653832424462824,0.011461790253318093
12,A,156,108,0.11215715543656597,0.19010149969354068
12,A,156,109,1.9877695896844575e-13,1.304883618487488e-12
12,A,156,113,0.00020342871440874572,0.000635942996345114
12,A,156,114,0.15746202335143314,0.2502933742552021
12,A,156,115,0.39861805509936216,0.5166549902334603
12,A,156,116,0.31527980683828866,0.4318646648564198
12,A,158,107,0.004857348433177389,0.01190828294159821
12,A,158,108,0.5060780441199794,0.6188367258536975
12,A,158,109,6.321980945899257e-07,2.659776338760998e-06
12,A,158,113,0.002722064366798832,0.007021267776966527
12,A,158,114,0.28461409846316926,0.399201972671998
12,A,158,115,0.13176078795761847,0.21642919359113558
12,A,158,116,0.5985395310786191,0.6989107395888482
12,A,161,107,0.018973606926001477,0.040796842552936724
12,A,161,108,0.1360954731682677,0.22214787218584126
12,A,161,109,1.98011816137737e-14,1.3743421020421904e-13
12,A,161,113,5.932697507038332e-07,2.5005287828455058e-06
12,A,161,114,1.0222393294668161e-08,4.976338933941201e-08
12,A,161,115,0.719536056054918,0.799197644687239
12,A,161,116,0.9735191379470027,0.985689896176897
12,A,163,107,0.016324998792219016,0.035694119161138106
12,A,163,108,0.20509607686315567,0.30943229185570875
12,A,163,109,0.07715562659748045,0.1387644747017143
12,A,163,113,0.003779807500061112,0.009480143765907686
12,A,163,114,0.015716857349378395,0.03448079736622428
12,A,163,115,0.3336079340437655,0.45118043895433524
12,A,163,116,0.8944663747356804,0.9328317631899437
12,A,166,107,0.18117414937415688,0.2809792808708534
12,A,166,108,0.4285156373856251,0.5471325115559701
12,A,166,109,1.2635961389387086e-05,4.65658577127413e-05
12,A,166,113,0.008559971105241369,0.02000845666515853
12,A,166,114,0.47724859971023414,0.5932601279639088
12,A,166,115,0.4694929503058991,0.5862086494654394
12,A,166,116,0.5274763299741858,0.6385363417237062
12,A,167,107,0.18117414937415688,0.2809792808708534
12,A,167,108,0.4285156373856251,0.5471325115559701
12,A,167,109,1.2635961389387086e-05,4.65658577127413e-05
12,A,167,113,0.008559971105241369,0.02000845666515853
12,A,167,114,0.47724859971023414,0.5932601279639088
12,A,167,115,0.4694929503058991,0.5862086494654394
12,A,167,116,0.5274763299741858,0.6385363417237062
12,A,17,107,0.9513454917514872,0.971500821061375
12,A,17,108,0.2708233415670481,0.3845030813881081
12,A,17,109,0.08483378320525146,0.15006153651417817
12,A,17,113,0.44422114127162377,0.5625071390460965
12,A,17,114,0.9714993619233789,0.9845108566897656
12,A,17,115,0.2680276482194021,0.38166369943227924
12,A,17,116,0.4307707944871891,0.5493328298811319
12,A,171,107,0.8188720097426553,0.8763405750943178
12,A,171,108,0.6916761668623957,0.775831307222254
12,A,171,109,0.5836871437369819,0.6870389042423557
12,A,171,113,0.09467398748465342,0.16464527411500898
12,A,171,114,0.9244145825137838,0.9531528596903782
12,A,171,115,0.7729419946813036,0.8413097347953242
12,A,171,116,0.004820606590999646,0.011829657326279408
12,A,184,107,0.09772907617790895,0.16917759800627244
12,A,184,108,0.4271984086647085,0.5459016450508567
12,A,184,109,3.6604076798058454e-08,1.7153735569283576e-07
12,A,184,113,7.150019906373626e-06,2.701743585942889e-05
12,A,184,114,0.2192754744920504,0.32566369759273517
12,A,184,115,0.23315073888933996,0.34167479803571676
12,A,184,116,0.5193983943658995,0.6308500857543796
12,A,186,107,0.6534639037056376,0.7449975184040211
12,A,186,108,0.6166333649670634,0.7144392226558425
12,A,186,109,0.04739241951855873,0.09132333709967119
12,A,186,113,0.003270504565561676,0.008308978405667362
12,A,186,114,0.6129836772222721,0.7112458976057848
12,A,186,115,0.3776117457644847,0.4961826441610238
12,A,186,116,0.008738611685307816,0.020390093932384903
12,A,19,107,0.3222038617514143,0.4393187289382079
12,A,19,108,0.7908102789201498,0.8557103495830727
12,A,19,109,0.5583469847997602,0.6645965562898966
12,A,19,113,0.6616752459940134,0.7518837157433158
12,A,19,114,0.4096447654781235,0.5275111239297676
12,A,19,115,0.5931385947968745,0.6941483610578602
12,A,19,116,0.17822168589989718,0.27743511030737755
12,A,193,107,0.2775835347877111,0.39146936366416757
12,A,193,108,0.741968367845893,0.8163033199316163
12,A,193,109,5.1215600584468515e-09,2.5334989919802783e-08
12,A,193,113,1.1719128183785278e-05,4.331894801648638e-05
12,A,193,114,0.2858435282219814,0.40054323992880003
12,A,193,115,0.17985391057013003,0.27938276824554353
12,A,193,116,0.3803200735537006,0.4986454538663513
12,A,194,107,0.2775835347877111,0.39146936366416757
12,A,194,108,0.741968367845893,0.8163033199316163
12,A,194,109,5.1215600584468515e-09,2.5334989919802783e-08
12,A,194,113,1.1719128183785278e-05,4.331894801648638e-05
12,A,194,114,0.2858435282219814,0.40054323992880003
12,A,194,115,0.17985391057013003,0.27938276824554353
12,A,194,116,0.3803200735537006,0.4986454538663513
12,A,207,107,0.2775835347877111,0.39146936366416757
12,A,207,108,0.741968367845893,0.8163033199316163
12,A,207,109,5.1215600584468515e-09,2.5334989919802783e-08
12,A,207,113,1.1719128183785278e-05,4.331894801648638e-05
12,A,207,114,0.2858435282219814,0.40054323992880003
12,A,207,115,0.17985391057013003,0.27938276824554353
12,A,207,116,0.3803200735537006,0.4986454538663513
12,A,245,107,0.08595544866172768,0.1517568463335916
12,A,245,108,0.005389434520597828,0.01310549408604831
12,A,245,109,2.287509200654324e-09,1.1609511961023476e-08
12,A,245,113,0.0006329481392093458,0.001828298098327877
12,A,245,114,0.8588539812764038,0.9070745349360751
12,A,245,115,0.4591553369852023,0.5767648536186364
12,A,245,116,0.2331350646385292,0.34166980014883874
12,A,246,107,0.4680941044101917,0.585012639012558
12,A,246,108,0.6066713134614876,0.7060387983222793
12,A,246,109,0.008429229809346244,0.019732656288411594
12,A,246,113,0.06273029487135034,0.1164236381449025
12,A,246,114,0.3840085237714317,0.5021654113380072
12,A,246,115,0.4914477601521826,0.6069569375760177
12,A,246,116,0.25414187819189427,0.36572510817385484
12,A,253,107,0.5402053693437912,0.6495240425496535
12,A,253,108,0.7226378287342083,0.8017478359497847
12,A,253,109,1.8224803598428336e-07,8.065814587008951e-07
12,A,253,113,0.00207291190355838,0.005455958963924088
12,A,253,114,0.46540673872982974,0.5824378645680108
12,A,253,115,0.7393642718320523,0.8144027443656734
12,A,253,116,0.9548749190179071,0.9741766238405922
12,A,255,107,0.5919153555757433,0.693384426116983
12,A,255,108,0.46367414416083086,0.5806086411218818
12,A,255,109,0.12992653073673835,0.21403459947525605
12,A,255,113,0.3790337688235993,0.49723976076778625
12,A,255,114,0.33226941015344774,0.449981808617298
12,A,255,115,0.6402582252609121,0.7338459767050238
12,A,255,116,0.9762968447048553,0.9872107321964746
12,A,268,107,0.5919153555757433,0.693384426116983
12,A,268,108,0.46367414416083086,0.5806086411218818
12,A,268,109,0.12992653073673835,0.21403459947525605
12,A,268,113,0.3790337688235993,0.49723976076778625
12,A,268,114,0.33226941015344774,0.449981808617298
12,A,268,115,0.6402582252609121,0.7338459767050238
12,A,268,116,0.9762968447048553,0.9872107321964746
12,A,276,107,0.9525160370544286,0.9723397622869844
12,A,276,108,0.35543270737022753,0.47377423220585324
12,A,276,109,4.1314618721758323e-07,1.7672735722219974e-06
12,A,276,113,0.007537553937194366,0.017831048033474996
12,A,276,114,0.5848742943853409,0.6877098776726428
12,A,276,115,0.2126377542777905,0.31820457314530765
12,A,276,116,0.8922983382403598,0.931099730453441
12,A,282,107,0.9963872636683189,0.9986095821929406
12,A,282,108,0.14588257325469062,0.23507944304908787
12,A,282,109,0.007145555304908933,0.01698593607463847
12,A,282,113,0.05564045415482278,0.10479604196547881
12,A,282,114,0.8644205862397266,0.9109144993054991
12,A,282,115,0.08421467472646697,0.14932668265525523
12,A,282,116,0.6307419673181144,0.726045168346183
12,A,283,107,0.609773248121148,0.7083468578849678
12,A,283,108,0.019680669697072776,0.042093003052391186
12,A,283,109,0.08643847353419076,0.15248375056433575
12,A,283,113,0.8007111437610324,0.862104361770844
12,A,283,114,0.8999019277384795,0.9362564406724553
12,A,283,115,0.051437007107202636,0.09798530037652413
12,A,283,116,0.17751390111526635,0.2765960450263602
12,A,288,107,0.7446813924668425,0.8185119972433121
12,A,288,108,0.13746804808438176,0.22385059440241253
12,A,288,109,0.3684646190275479,0.48739076469981407
12,A,288,113,0.5897770919588372,0.6917710328863421
12,A,288,114,0.5244897461697727,0.6357866391806931
12,A,288,115,0.008627221776348813,0.020153815083773095
12,A,288,116,0.31940248102932084,0.4366959376491573
12,A,294,107,0.8758696014591807,0.9192935162994565
12,A,294,108,0.23485660155515886,0.3437407365025861
12,A,294,109,1.5931565478085144e-06,6.4181012315780554e-06
12,A,294,113,0.0038950381502958257,0.009749843923382004
12,A,294,114,0.8256145832280354,0.8814570718042946
12,A,294,115,0.21097877186080372,0.31632055667000275
12,A,294,116,0.7992948672980105,0.8608605202939872
12,A,297,107,0.8588286051211574,0.9070745349360751
12,A,297,108,0.10883498486330401,0.18521426170005803
12,A,297,109,0.011132844524148098,0.02531307014141565
12,A,297,113,0.46894467504880283,0.5857866048002353
12,A,297,114,0.5869712393539374,0.6895352811772937
12,A,297,115,0.18926036745530986,0.2909609224867527
12,A,297,116,0.7301920961255024,0.8075242854103086
12,A,298,107,0.9606583286567123,0.9775710802971731
12,A,298,108,0.1366102214048362,0.22284447381806527
12,A,298,109,0.03867616903059463,0.07635473846317789
12,A,298,113,0.06949663584938123,0.1271291053685989
12,A,298,114,0.706824197263484,0.7886944142807059
12,A,298,115,0.05600864836189656,0.10541825046361561
12,A,298,116,0.43491019611976434,0.5532440557004993
12,A,299,107,0.9135333433642301,0.9461352768077119
12,A,299,108,0.1405765623734667,0.2275893235264168
12,A,299,109,0.02326665389472692,0.0488771661519448
12,A,299,113,0.2003201970656961,0.3033603680083869
12,A,299,114,0.7956669324379537,0.8595300790120741
12,A,299,115,0.161555270329534,0.25589458362503936
12,A,299,116,0.45845753795610866,0.5762780638628943
12,A,307,107,0.9606583286567123,0.9775710802971731
12,A,307,108,0.1366102214048362,0.22284447381806527
12,A,307,109,0.03867616903059463,0.07635473846317789
12,A,307,113,0.06949663584938123,0.1271291053685989
12,A,307,114,0.706824197263484,0.7886944142807059
12,A,307,115,0.05600864836189656,0.10541825046361561
12,A,307,116,0.43491019611976434,0.5532440557004993
12,A,31,107,0.5798907789769097,0.6841311497902479
12,A,31,108,0.05304460115750278,0.10055266981343317
12,A,31,109,0.2884068573995368,0.4032854229725297
12,A,31,113,0.16692046045363554,0.2626797117469722
12,A,31,114,0.28737777601366693,0.4021672111583665
12,A,31,115,0.7773535106573413,0.8452198730403749
12,A,31,116,0.7278744724811588,0.8058248680041757
12,A,310,107,0.9623008054200293,0.9785276457771376
12,A,310,108,0.12080643309408315,0.20208149060349181
12,A,310,109,0.12527350452203573,0.2078442017617863
12,A,310,113,0.5507235671056456,0.657950866381133
12,A,310,114,0.6428458069085806,0.7359640098817776
12,A,310,115,0.1915507028311268,0.29323603389610375
12,A,310,116,0.9628726626008215,0.9787127730709186
12,A,311,107,0.9963872636683189,0.9986095821929406
12,A,311,108,0.14588257325469062,0.23507944304908787
12,A,311,109,0.007145555304908933,0.01698593607463847
12,A,311,113,0.05564045415482278,0.10479604196547881
12,A,311,114,0.8644205862397266,0.9109144993054991
12,A,311,115,0.08421467472646697,0.14932668265525523
12,A,311,116,0.6307419673181144,0.726045168346183
12,A,314,107,0.9623008054200293,0.9785276457771376
12,A,314,108,0.12080643309408315,0.20208149060349181
12,A,314,109,0.12527350452203573,0.2078442017617863
12,A,314,113,0.5507235671056456,0.657950866381133
12,A,314,114,0.6428458069085806,0.7359640098817776
12,A,314,115,0.1915507028311268,0.29323603389610375
12,A,314,116,0.9628726626008215,0.9787127730709186
12,A,321,107,0.9452931939206405,0.9677679191059069
12,A,321,108,0.4759220045186816,0.5922188148595502
12,A,321,109,4.1242716194498783e-07,1.764468785593882e-06
12,A,321,113,0.009189404298731342,0.021332955900562885
12,A,321,114,0.5277159155607931,0.6386098693143316
12,A,321,115,0.3098882336322859,0.42634499698743134
12,A,321,116,0.8030588497949815,0.8638308708605477
12,A,334,107,0.9326326763142223,0.9592832593263765
12,A,334,108,0.17476513869173502,0.2731992348755323
12,A,334,109,0.020525397618851277,0.04363839878366885
12,A,334,113,0.1819552754112847,0.28197096300803154
12,A,334,114,0.688533120017816,0.7729282264363105
12,A,334,115,0.21388598740665168,0.31958040744281235
12,A,334,116,0.5421154534893686,0.6503213286447855
12,A,35,107,0.5798907789769097,0.6841311497902479
12,A,35,108,0.05304460115750278,0.10055266981343317
12,A,35,109,0.2884068573995368,0.4032854229725297
12,A,35,113,0.16692046045363554,0.2626797117469722
12,A,35,114,0.28737777601366693,0.4021672111583665
12,A,35,115,0.7773535106573413,0.8452198730403749
12,A,35,116,0.7278744724811588,0.8058248680041757
12,A,43,107,0.009118340300534055,0.021180544849202888
12,A,43,108,0.25170167074116034,0.3629611049093544
12,A,43,109,0.0038686995114584704,0.009689137755234896
12,A,43,113,4.472125110607307e-05,0.00015462075649233005
12,A,43,114,0.026459255597458712,0.05455153266818617
12,A,43,115,0.10037916865811006,0.17303326561161653
12,A,43,116,0.35072504363143947,0.46875897663941757
12,A,44,107,0.005432750177992508,0.013200455255439671
12,A,44,108,0.5090449026942894,0.62190804196908
12,A,44,109,3.546221513988492e-07,1.5244210982829715e-06
12,A,44,113,0.002558241092631227,0.006630009008437766
12,A,44,114,0.2653340038126885,0.3785245197512162
12,A,44,115,0.1255375483491932,0.20815832026000014
12,A,44,116,0.6302974545638447,0.7257133977000748
12,A,56,107,0.8850612506909057,0.9261390307315903
12,A,56,108,0.22813431436330417,0.3361268178201732
12,A,56,109,0.25601619998440595,0.36775516017352666
12,A,56,113,0.34026605079735983,0.45802832174781105
12,A,56,114,0.20607762354607487,0.3107112561962142
12,A,56,115,0.687959858836259,0.772409191068678
12,A,56,116,0.8079020829615458,0.8676237954404591
12,A,62,107,0.038565466980780096,0.07617663348372995
12,A,62,108,0.05777941622155849,0.10840346459242901
12,A,62,109,7.823600340841314e-20,7.17936447614753e-19
12,A,62,113,5.725668047504653e-05,0.00019455678961273284
12,A,62,114,0.4735857187932657,0.5903399608760798
12,A,62,115,0.4769869687603673,0.5930407421306602
12,A,62,116,0.9022062800899966,0.9376456508862351
12,A,63,107,0.23531706681036949,0.3442699932435485
12,A,63,108,0.002311601949183926,0.006043659000024791
12,A,63,109,7.458203722144732e-15,5.2858192749669865e-14
12,A,63,113,0.373688516766534,0.4926689732261243
12,A,63,114,0.8056878112054136,0.8659900625070533
12,A,63,115,0.6736747376538879,0.7613309454270807
12,A,63,116,0.7684025971876955,0.8377483321093734
12,A,65,107,0.9207525036275714,0.9504674034259936
12,A,65,108,0.6240295150428079,0.7206110540119635
12,A,65,109,0.0007639940336759504,0.0021817213794805227
12,A,65,113,0.010791646743732128,0.024662068598177104
12,A,65,114,0.6797099670154949,0.7653673785891071
12,A,65,115,0.3377545595178421,0.4554839066831445
12,A,65,116,0.37801911592781134,0.4962644222360305
12,A,66,107,0.037910479834924994,0.07509055394608737
12,A,66,108,0.12192877189718614,0.20366542269054533
12,A,66,109,6.488441244606047e-08,2.987406595186324e-07
12,A,66,113,0.00018374965840770778,0.0005787096408816119
12,A,66,114,0.1084226383026392,0.1846959885342548
12,A,66,115,0.34703037751157906,0.4653373567622456
12,A,66,116,0.2707893335113198,0.3844761406393522
12,A,67,107,0.005432750177992508,0.013200455255439671
12,A,67,108,0.5090449026942894,0.62190804196908
12,A,67,109,3.546221513988492e-07,1.5244210982829715e-06
12,A,67,113,0.002558241092631227,0.006630009008437766
12,A,67,114,0.2653340038126885,0.3785245197512162
12,A,67,115,0.1255375483491932,0.20815832026000014
12,A,67,116,0.6302974545638447,0.7257133977000748
12,A,70,107,0.046635312770780944,0.09003410249304142
12,A,70,108,0.4465311775130192,0.5646495372872511
12,A,70,109,3.8070656345581515e-11,2.1774758484662308e-10
12,A,70,113,0.0013245186090775213,0.00359905280882666
12,A,70,114,0.01135763114501048,0.025786293187188652
12,A,70,115,0.5050923478075835,0.6180277047704895
12,A,70,116,0.993644348028007,0.997281872600263
12,A,73,107,0.8540553891988028,0.9031002825019412
12,A,73,108,0.006510902260220829,0.015580977234989891
12,A,73,109,0.011684427097817963,0.026459248877932898
12,A,73,113,0.050872486048246214,0.09704926467434534
12,A,73,114,0.2813673364143416,0.3957638204929346
12,A,73,115,0.47908708294507374,0.5951206585896984
12,A,73,116,0.5094096052862384,0.6222717412756873
12,A,74,107,0.011028557352608364,0.025147782603017598
12,A,74,108,0.07090104705566143,0.1293414857890733
12,A,74,109,0.002852697516251804,0.007324315989565501
12,A,74,113,2.4752006927347577e-05,8.812663424867776e-05
12,A,74,114,0.01665040727684469,0.036337172703500946
12,A,74,115,0.6646695691535074,0.753947078564257
12,A,74,116,0.8493934684465624,0.900049521942843
12,A,76,107,0.12209545376663224,0.20388272248491812
12,A,76,108,0.30885089237251884,0.42516977277885043
12,A,76,109,3.021002371708992e-11,1.739667756837795e-10
12,A,76,113,3.218305174791458e-05,0.00011305255600767877
12,A,76,114,0.017559437775446805,0.03804681415647441
12,A,76,115,0.2889666882977266,0.4037823219969236
12,A,76,116,0.9022902130354551,0.9376979011924715
12,A,77,107,0.1638246058850874,0.25894437308286256
12,A,77,108,0.5146372054569792,0.6267339486834568
12,A,77,109,4.914204947127896e-08,2.285638561385362e-07
12,A,77,113,0.006164782155759018,0.014817602524324583
12,A,77,114,0.0038077403423617618,0.009543329069647237
12,A,77,115,0.5967798443307597,0.6972984090990316
12,A,77,116,0.6231356873828032,0.7198772702971015
12,A,79,107,0.9443595186462055,0.9670608023775376
12,A,79,108,0.4442312301971362,0.5625071390460965
12,A,79,109,0.00012011400465656509,0.0003886721535091172
12,A,79,113,0.005624149010320897,0.013622743125329524
12,A,79,114,0.05000000348269035,0.09558117860764054
12,A,79,115,0.21156964946021622,0.3168994856968615
12,A,79,116,0.2867413561445235,0.40149842600323793
12,A,80,107,0.9443595186462055,0.9670608023775376
12,A,80,108,0.4442312301971362,0.5625071390460965
12,A,80,109,0.00012011400465656509,0.0003886721535091172
12,A,80,113,0.005624149010320897,0.013622743125329524
12,A,80,114,0.05000000348269035,0.09558117860764054
12,A,80,115,0.21156964946021622,0.3168994856968615
12,A,80,116,0.2867413561445235,0.40149842600323793
12,A,81,107,0.9443595186462055,0.9670608023775376
12,A,81,108,0.4442312301971362,0.5625071390460965
12,A,81,109,0.00012011400465656509,0.0003886721535091172
12,A,81,113,0.005624149010320897,0.013622743125329524
12,A,81,114,0.05000000348269035,0.09558117860764054
12,A,81,115,0.21156964946021622,0.3168994856968615
12,A,81,116,0.2867413561445235,0.40149842600323793
12,A,82,107,0.9443595186462055,0.9670608023775376
12,A,82,108,0.4442312301971362,0.5625071390460965
12,A,82,109,0.00012011400465656509,0.0003886721535091172
12,A,82,113,0.005624149010320897,0.013622743125329524
12,A,82,114,0.05000000348269035,0.09558117860764054
12,A,82,115,0.21156964946021622,0.3168994856968615
12,A,82,116,0.2867413561445235,0.40149842600323793
12,A,83,107,0.9443595186462055,0.9670608023775376
12,A,83,108,0.4442312301971362,0.5625071390460965
12,A,83,109,0.00012011400465656509,0.0003886721535091172
12,A,83,113,0.005624149010320897,0.013622743125329524
12,A,83,114,0.05000000348269035,0.09558117860764054
12,A,83,115,0.21156964946021622,0.3168994856968615
12,A,83,116,0.2867413561445235,0.40149842600323793
12,A,9,107,0.7197610294957698,0.7993938790808952
12,A,9,108,0.009382051482553144,0.02174756255128801
12,A,9,109,1.6931160033099314e-12,1.057628068435307e-11
12,A,9,113,0.00743368054510075,0.01760924581128364
12,A,9,114,0.11284534459965188,0.1910238972260482
12,A,9,115,0.5700025846469935,0.675296479344499
12,A,9,116,0.4900357093531901,0.6056157060985616
12,A,90,107,0.006894414013957875,0.016430998667995415
12,A,90,108,0.2527702805812203,0.36412513014440523
12,A,90,109,0.13124805336367704,0.2158032794329581
12,A,90,113,0.004297043472142742,0.010651804531888673
12,A,90,114,0.028735302068799824,0.05864948832503759
12,A,90,115,0.16877774057045908,0.2651038987592597
12,A,90,116,0.9579119256693238,0.9763811601049047
12,A,95,107,0.0016780184092879274,0.004487386531269117
